gen				tr_ac_top		tr_ac_mean		tr_ac_best		tr_ac_uq		tr_ac_median	tr_ac_lq		tr_ac_worst		tr_acac_top		tr_acac_mean	tr_acac_best	tr_acac_uq		tr_acac_median	tr_acac_lq		tr_acac_worst	tr_aa_top		tr_aa_mean		tr_aa_best		tr_aa_uq		tr_aa_median	tr_aa_lq		tr_aa_worst		te_ac_top		te_ac_mean		te_ac_best		te_ac_uq		te_ac_median	te_ac_lq		te_ac_worst		te_acac_top		te_acac_mean	te_acac_best	te_acac_uq		te_acac_median	te_acac_lq		te_acac_worst	te_aa_top		te_aa_mean		te_aa_best		te_aa_uq		te_aa_median	te_aa_lq		te_aa_worst		
0				2.055637		2.055644		2.055506		2.055581		2.055624		2.055705		2.055821		1.321387		1.321414		1.321068		1.321300		1.321385		1.321512		1.321847		11.238999		11.236374		11.249999		11.249999		11.249999		11.238999		11.169999		2.055727		2.055708		2.055650		2.055663		2.055700		2.055746		2.055790		1.321129		1.321411		1.321129		1.321273		1.321363		1.321438		1.321881		11.236666		11.226178		11.236666		11.236666		11.236666		11.236666		11.152777		
1				2.055637		2.055734		2.055450		2.055548		2.055620		2.055676		2.057116		1.321387		1.321905		1.321116		1.321244		1.321474		1.321517		1.325742		11.238999		11.232248		11.249999		11.249999		11.249999		11.245999		11.083000		2.055727		2.055784		2.055539		2.055672		2.055697		2.055727		2.056772		1.321129		1.322021		1.321129		1.321294		1.321400		1.321555		1.325797		11.236666		11.226178		11.236666		11.236666		11.236666		11.236666		11.152777		
2				2.055637		2.055637		2.055458		2.055525		2.055614		2.055665		2.056174		1.321387		1.321372		1.320416		1.321161		1.321392		1.321517		1.322199		11.238999		11.233436		11.249999		11.249999		11.249999		11.245999		11.165998		2.055727		2.055704		2.055550		2.055657		2.055693		2.055721		2.055942		1.321129		1.321292		1.320557		1.321129		1.321321		1.321373		1.321762		11.236666		11.226178		11.236666		11.236666		11.236666		11.236666		11.152777		
3				2.055637		2.055689		2.055498		2.055581		2.055636		2.055724		2.056309		1.321387		1.321508		1.321170		1.321269		1.321409		1.321517		1.322946		11.238999		11.233999		11.249999		11.249999		11.249999		11.238999		11.187999		2.055727		2.055740		2.055657		2.055673		2.055709		2.055762		2.056159		1.321129		1.321259		1.320416		1.321158		1.321323		1.321378		1.321561		11.236666		11.231421		11.236666		11.236666		11.236666		11.236666		11.152777		
2				2.053471		2.055593		2.053471		2.055489		2.055591		2.055633		2.058352		1.318528		1.321470		1.318528		1.321118		1.321368		1.321393		1.326963		13.085001		11.404937		13.085001		11.249999		11.249999		11.245999		10.727999		2.053277		2.055635		2.053277		2.055656		2.055674		2.055714		2.057782		1.318146		1.321120		1.318146		1.321129		1.321326		1.321396		1.322265		12.525000		11.365901		12.525000		11.236666		11.236666		11.236666		10.984999		
3				2.053471		2.055536		2.053471		2.055439		2.055613		2.055930		2.056200		1.318528		1.321295		1.318528		1.320909		1.321318		1.321868		1.322690		13.085001		11.417374		13.085001		11.249999		11.249999		11.204000		11.160999		2.053277		2.055569		2.053277		2.055601		2.055700		2.055899		2.055991		1.318146		1.321142		1.318146		1.320965		1.321309		1.321524		1.322642		12.525000		11.355413		12.525000		11.236666		11.236666		11.152777		11.152777		
4				2.053471		2.055652		2.053471		2.055423		2.055528		2.056253		2.056961		1.318528		1.321569		1.318528		1.321089		1.321244		1.322640		1.323879		13.085001		11.440687		13.085001		11.261000		11.249999		11.193998		11.131999		2.053277		2.055605		2.053277		2.055498		2.055659		2.056114		2.056515		1.318146		1.321428		1.318146		1.321007		1.321261		1.321998		1.324513		12.525000		11.344928		12.525000		11.236666		11.236666		11.152777		11.152777		
6				1.986566		2.050974		1.986566		2.055029		2.055593		2.055674		2.056497		1.267579		1.317639		1.267579		1.320370		1.321186		1.321727		1.323094		16.858999		11.811060		16.858999		11.922999		11.249999		11.179999		11.166999		1.985496		2.050918		1.985496		2.055171		2.055666		2.055753		2.056261		1.266464		1.317243		1.266464		1.320356		1.321202		1.321340		1.322427		16.686110		11.731732		16.686110		11.871110		11.236666		11.152777		11.152777		
6				1.851888		2.034901		1.851888		2.050505		2.055494		2.055786		2.056302		1.170027		1.305056		1.170027		1.313902		1.321206		1.321572		1.322580		26.100000		13.093373		26.100000		13.872999		11.249999		11.207999		11.165998		1.851026		2.034716		1.851026		2.050214		2.055641		2.055748		2.056127		1.167853		1.304573		1.167853		1.314478		1.321041		1.321241		1.321846		27.300556		13.039719		27.300556		13.334445		11.236666		11.152777		11.152777		
7				1.851888		2.029986		1.851888		2.003478		2.055506		2.055702		2.058135		1.170027		1.301411		1.170027		1.274602		1.320964		1.321638		1.325987		26.100000		13.375625		26.100000		14.796000		11.249999		11.207999		10.653001		1.851026		2.029686		1.851026		2.002823		2.055624		2.055752		2.057310		1.167853		1.300492		1.167853		1.273434		1.320461		1.321217		1.323607		27.300556		13.395309		27.300556		14.658333		11.236666		11.236666		11.152777		
